id, nombre, plantel, Turno, estacion, puntajeEstacion,Llegada,Salida
4,En proceso,05 Bermejillo,Matutino,Humanidades,85,10:10:00 a. m.,10:55:00 a. m.
5,ELITE DEL INTELECTO,06 Peñón Blanco,Matutino,Humanidades,90,10:10:00 a. m.,10:55:00 a. m.
6,Campobellos en movimiento,07 Villa Ocampo,Matutino,Humanidades,75,10:10:00 a. m.,10:55:00 a. m.
7,Escuadron respeto y victoria,08 Nazas,Matutino,Humanidades,65,10:10:00 a. m.,10:55:00 a. m.
8,Pumas 09,09 Lomas,Matutino,Humanidades,75,10:10:00 a. m.,10:55:00 a. m.
9,CORCELES DEL SABER  ,09 Lomas,Vespertino,Humanidades,80,10:10:00 a. m.,10:55:00 a. m.
10,Guerreros Pinioleros,10 Santiago Papasquiaro,Matutino,Informática,30,10:10:00 a. m.,10:55:00 a. m.
11,Papas Kiali Papali,10 Santiago Papasquiaro,Vespertino,Informática,58,10:10:00 a. m.,10:55:00 a. m.
12,BAILEYI´S O´DAM,11 Tepehuanes,Matutino,Informática,53,10:10:00 a. m.,10:55:00 a. m.
13,Apex Ducks,12 Nuevo Ideal,Matutino,Informática,48,10:10:00 a. m.,10:55:00 a. m.
14,Impacto 13 ,13 Tamazula,Matutino,Informática,58,10:10:00 a. m.,10:55:00 a. m.
15,LOS GUARDIANES DEL DESIERTO,14 San Juan De Guadalupe,Matutino,Informática,48,10:10:00 a. m.,10:55:00 a. m.
16,MENTES NOCTURNAS ,15 San Miguel De Cruces,Matutino,Informática,10,10:10:00 a. m.,10:55:00 a. m.
17,"Coba 16, Mente y Talento ",16 Tayoltita,Matutino,Informática,25,10:10:00 a. m.,10:55:00 a. m.
18,Tribu Invencible Mezquital,17 Mezquital,Matutino,Informática,43,10:10:00 a. m.,10:55:00 a. m.
19,O’dam Tasai,18 Antonio Amaro,Matutino,Informática,13,10:10:00 a. m.,10:55:00 a. m.
1,ALQUIMISTAS ,01 La Forestal,Matutino,Informática,30,10:10:00 a. m.,10:55:00 a. m.
20,JILGUEROS DEL ARROYO,19 Santa Clara,Matutino,Informática,30,10:10:00 a. m.,10:55:00 a. m.
21,Guerreros ,20 Guadalupe Victoria,Matutino,Informática,53,10:10:00 a. m.,10:55:00 a. m.
22,Corceles de fuego ,22 Santa Ma. Del Oro,Matutino,Informática,15,10:10:00 a. m.,10:55:00 a. m.
23,Tusas mineras,23 Coneto de Comonfort,Matutino,Informática,35,10:10:00 a. m.,10:55:00 a. m.
24,Coyotes,24 Simón Bolívar,Matutino,Informática,25,10:10:00 a. m.,10:55:00 a. m.
25,ESCUADRÓN 27,27 Vicente Guerrero,Matutino,Informática,20,10:10:00 a. m.,10:55:00 a. m.
26,TUKURA,28 El Salto,Matutino,Informática,65,10:10:00 a. m.,10:55:00 a. m.
27,Furia Manzanera ,29 Canatlán,Matutino,Informática,58,10:10:00 a. m.,10:55:00 a. m.
28,VIGIAS DEL SABER ,31 La Ciudad,Matutino,Informática,5,10:10:00 a. m.,10:55:00 a. m.
29,LOBOS,32 Juana Villalobos,Matutino,Informática,18,10:10:00 a. m.,10:55:00 a. m.
2,Guardianes del Jardín ,02 Lerdo,Vespertino,Informática,13,10:10:00 a. m.,10:55:00 a. m.
30,Halcones,32 Juana Villalobos,Vespertino,Informática,0,10:10:00 a. m.,10:55:00 a. m.
31,Titanes,33 Pino Suárez,vespertino,Informática,35,10:10:00 a. m.,10:55:00 a. m.
32,SOMOS GIGANTES VILLAS,34 Villas Del Guadiana,Matutino,Informática,0,10:10:00 a. m.,10:55:00 a. m.
33,la variable rebelde ,35 Gómez Palacio,Vespertino,Informática,5,10:10:00 a. m.,10:55:00 a. m.
3,COBAED MADERO,03 Fco. I. Madero,Matutino,Informática,30,10:10:00 a. m.,10:55:00 a. m.
4,En proceso,05 Bermejillo,Matutino,Informática,15,10:10:00 a. m.,10:55:00 a. m.
5,ELITE DEL INTELECTO,06 Peñón Blanco,Matutino,Informática,25,10:10:00 a. m.,10:55:00 a. m.
6,Campobellos en movimiento,07 Villa Ocampo,Matutino,Informática,10,10:10:00 a. m.,10:55:00 a. m.
7,Escuadron respeto y victoria,08 Nazas,Matutino,Informática,45,10:10:00 a. m.,10:55:00 a. m.
8,Pumas 09,09 Lomas,Matutino,Informática,18,10:10:00 a. m.,10:55:00 a. m.
9,CORCELES DEL SABER  ,09 Lomas,Vespertino,Informática,13,10:10:00 a. m.,10:55:00 a. m.
10,Guerreros Pinioleros,10 Santiago Papasquiaro,Matutino,Tutorías,95,10:10:00 a. m.,10:55:00 a. m.
11,Papas Kiali Papali,10 Santiago Papasquiaro,Vespertino,Tutorías,95,10:10:00 a. m.,10:55:00 a. m.
12,BAILEYI´S O´DAM,11 Tepehuanes,Matutino,Tutorías,100,10:10:00 a. m.,10:55:00 a. m.
13,Apex Ducks,12 Nuevo Ideal,Matutino,Tutorías,100,10:10:00 a. m.,10:55:00 a. m.
14,Impacto 13 ,13 Tamazula,Matutino,Tutorías,95,10:10:00 a. m.,10:55:00 a. m.
15,LOS GUARDIANES DEL DESIERTO,14 San Juan De Guadalupe,Matutino,Tutorías,80,10:10:00 a. m.,10:55:00 a. m.
16,MENTES NOCTURNAS ,15 San Miguel De Cruces,Matutino,Tutorías,75,10:10:00 a. m.,10:55:00 a. m.
